1password 8.10.78-43
abseil-cpp 20250512.0-1
acl 2.3.2-1
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.4-1
alsa-lib 1.2.14-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
aom 3.12.1-1
appstream 1.0.5-2
archlinux-keyring 20250430.1-1
atkmm 2.28.4-1
at-spi2-core 2.56.2-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
base 3-2
base-devel 1-2
bash 5.2.037-5
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
blueman 2.4.4-1
bluez 5.82-1
bluez-libs 5.82-1
brotli 1.1.0-3
btrfs-progs 6.14-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.112-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
composefs 1.0.7-1
containerd 2.1.1-1
coreutils 9.7-1
cryptsetup 2.7.5-2
curl 8.14.0-2
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.32-1
diffutils 3.12-2
ding-libs 0.6.2-2
dkms 3.2.1-1
docker 1:28.2.0-1
docker-rootless-extras 28.2.2-1
double-conversion 3.3.1-1
duktape 2.7.0-7
e2fsprogs 1.47.2-2
efibootmgr 18-3
efivar 39-1
exfatprogs 1.2.9-1
expat 2.7.1-1
fakeroot 1.37.1.2-1
file 5.46-4
filesystem 2025.05.03-1
findutils 4.10.0-2
fish 4.0.2-1
flac 1.5.0-1
flatpak 1:1.16.1-1
flex 2.6.4-5
fontconfig 2:2.16.2-1
freetype2 2.13.3-3
fribidi 1.0.16-2
fuse3 3.17.1-1
fuse-common 3.17.1-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.1.1+r7+gf36ec88aa85a-1
gcc-libs 15.1.1+r7+gf36ec88aa85a-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdbm 1.25-1
gdk-pixbuf2 2.42.12-2
gettext 0.25-1
giflib 5.2.2-2
git 2.49.0-2
glib2 2.84.2-1
glibc 2.41+r48+g5cb575ca9a3d-1
glibmm 2.66.8-1
glib-networking 1:2.80.1-1
gmp 6.3.0-2
gnome-keyring 1:48.0-1
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.7-2
gnutls 3.8.9-1
go 2:1.24.3-1
gobject-introspection-runtime 1.84.0-1
gparted 1.7.0-1
gpgme 1.24.3-2
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.12-2
groff 1.23.0-7
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gssproxy 0.9.2-1
gst-plugins-base-libs 1.26.2-1
gstreamer 1.26.2-1
gtest 1.17.0-1
gtk3 1:3.24.49-2
gtklock 4.0.0-1
gtkmm3 3.24.10-1
gtk-session-lock 0.2.0-2
gtk-update-icon-cache 1:4.18.5-2
guile 3.0.10-1
gvfs 1.57.2-3
gvfs-goa 1.57.2-3
gvfs-gphoto2 1.57.2-3
gvfs-mtp 1.57.2-3
gvfs-nfs 1.57.2-3
gzip 1.14-2
harfbuzz 11.2.1-1
hicolor-icon-theme 0.18-1
hwdata 0.395-1
iana-etc 20250502-1
icu 76.1-1
intel-gmmlib 22.7.2-1
intel-media-driver 25.2.3-1
iproute2 6.15.0-1
iptables 1:1.8.11-2
iputils 20240905-1
iso-codes 4.18.0-1
jansson 2.14.1-1
jbigkit 2.1-8
json-c 0.18-2
json-glib 1.10.6-1
kbd 2.8.0-1
kernel-install-mkinitcpio 1.8-1
keyutils 1.6.3-3
kmod 34.2-1
krb5 1.21.3-1
kvantum 1.1.5-1
kvantum-qt5 1.1.5-1
kwindowsystem 6.14.0-1
lame 3.100-5
lcms2 2.17-1
leancrypto 1.3.0-1
less 1:668-1
libarchive 3.8.0-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libavif 1.3.0-1
libayatana-appindicator 0.5.94-1
libayatana-appindicator-glib 2.0.0-1
